annee;pays;espérance_vie;mortalité_infantile;mortalité_maternelle;densité_médecins;densité_infirmiers;insuffissance_pondérale_T;insuffissance_pondérale_F;insuffissance_pondérale_M;nombre_lits_hospitaliers;taux_chômage_jeunes;scolarisation_primaire;scolarisation_secondaire;scolarisation_superieur;pop_15_24_pct;population_total;obésité_T;obésité_M;obésité_F;activité_phisique_T;activité_phisique_M;activité_phisique_F;surpoids_T;surpoids_M;surpoids_F;pop_young_ratio;population_total_growth_pct;pop_15_24_pct_growth_pct;espérance_vie_growth_pct;taux_chômage_jeunes_growth_pct;scolarisation_primaire_growth_pct;scolarisation_secondaire_growth_pct;scolarisation_superieur_growth_pct;espérance_vie_per_100k;mortalité_infantile_per_100k;mortalité_maternelle_per_100k;densité_médecins_per_100k;densité_infirmiers_per_100k;insuffissance_pondérale_T_per_100k;insuffissance_pondérale_F_per_100k;insuffissance_pondérale_M_per_100k;nombre_lits_hospitaliers_per_100k;taux_chômage_jeunes_per_100k;scolarisation_primaire_per_100k;scolarisation_secondaire_per_100k;scolarisation_superieur_per_100k;pop_15_24_pct_per_100k;obésité_T_per_100k;obésité_M_per_100k;obésité_F_per_100k;activité_phisique_T_per_100k;activité_phisique_M_per_100k;activité_phisique_F_per_100k;surpoids_T_per_100k;surpoids_M_per_100k;surpoids_F_per_100k;dev_index_pca;population_total_ma3;pop_15_24_pct_ma3;espérance_vie_ma3;taux_chômage_jeunes_ma3;scolarisation_primaire_ma3;scolarisation_secondaire_ma3;scolarisation_superieur_ma3
1990;BENIN;53.02;172.2;692.0;0.051;0.5994750000000001;2.1166666666666667;1.9708333333333332;2.2666666666666666;0.8338999748;0.0278446656607446;49.1453895568848;39.29494789123535;2.02301001548767;0.1578554624602906;5281479.0;2.05927;1.02765;2.94786;77.41628347826088;73.91518695652175;80.94200913043478;16.2;10.9;20.4;0.001578554624602906;;;;;;;;1.0038854646586686;3.2604503397627824;13.102390447827208;0.0009656386023687683;0.011350513748137597;0.04007715768001097;0.03731593618630943;0.042917271216389705;0.015789137376102415;0.0005272134123934716;0.9305232408740961;0.7440140894479624;0.03830385419477517;0.0029888495714986392;0.03899040401372419;0.01945761783773068;0.05581504726232936;1.4658068976182785;1.39951682012788;1.532563305286924;0.30673226192890285;0.2063815836435211;0.3862554409475073;1.0;5281479.0;0.1578554624602906;53.02;0.0278446656607446;49.1453895568848;39.29494789123535;2.02301001548767
1991;BENIN;53.441;168.0;666.0;0.042;0.5994750000000001;2.1166666666666667;1.9708333333333332;2.2666666666666666;0.5005000234;0.0278446656607446;55.5559501647949;39.29494789123535;2.32081007957458;0.1578554624602906;5446932.0;2.22783;1.10851;3.19444;77.41628347826088;73.91518695652175;80.94200913043478;16.6;11.3;21.0;0.001578554624602906;3.1327020328964617;0.0;0.7940399849113433;0.0;13.044073240054388;0.0;14.72064210295676;0.9811211155197092;3.0843050730209227;12.2270665394758;0.0007710762682552306;0.01100573680743582;0.03885979605889456;0.036182447905230564;0.041613639874091814;0.009188659292974466;0.0005111990687738455;1.0199493983915147;0.7214143281251786;0.042607656559226006;0.0028980619266091557;0.04090063911207263;0.020351089383895377;0.05864659224679141;1.421282356347773;1.3570058696624403;1.486011008223249;0.30475871554849593;0.20745623407819302;0.38553813412761534;0.9442784354601085;5364205.5;0.1578554624602906;53.230500000000006;0.0278446656607446;52.35066986083985;39.29494789123535;2.1719100475311253
1992;BENIN;54.137;163.9;625.0;0.055;0.5994750000000001;2.1166666666666667;1.9708333333333332;2.2666666666666666;0.2231000066;0.0278446656607446;58.5951881408691;39.29494789123535;2.19625997543335;0.1578554624602906;5617844.0;2.40981;1.1969;3.45994;77.41628347826088;73.91518695652175;80.94200913043478;17.1;11.6;21.6;0.001578554624602906;3.137766360953287;0.0;1.302370838869038;0.0;5.470589499520662;0.0;-5.366665081188415;0.9636615043066344;2.917489342886702;11.125264425284861;0.0009790232694250676;0.010670908626156227;0.037677562186964726;0.035081667154398255;0.040347625649033096;0.003971274506732476;0.0004956468292950925;1.0430191393863748;0.6994666973884528;0.03909435675738504;0.0028098940173541774;0.04289563754351313;0.02130532638499752;0.06158839583299216;1.3780425992295422;1.3157215998970735;1.4408020075038535;0.30438723467579376;0.206484907733287;0.38448913853784483;0.8970676358861001;5448751.666666667;0.1578554624602906;53.53266666666667;0.0278446656607446;54.43217595418293;39.29494789123535;2.1800266901652
1993;BENIN;54.612;159.9;591.0;0.057;0.5994750000000001;2.1166666666666667;1.9708333333333332;2.2666666666666666;0.2390999943;0.0278446656607446;63.647029876709;39.29494789123535;2.00092005729675;0.1578554624602906;5872706.0;2.60395;1.29341;3.74566;77.41628347826088;73.91518695652175;80.94200913043478;17.6;12.0;22.2;0.001578554624602906;4.536651427131111;0.0;0.8774036241387506;0.0;8.621598284990117;0.0;-8.89420743999385;0.9299290650681304;2.7227652806048863;10.063503945200049;0.0009705917510599032;0.010207815613449746;0.03604244221772156;0.03355920308854782;0.03859663103630025;0.0040713768797552615;0.0004741368912515729;1.0837768803122274;0.6691114435361715;0.03407151758144797;0.0026879510477842857;0.04433986649425325;0.02202408906558578;0.06378081926798311;1.3182387042406154;1.25862229365001;1.3782744978283399;0.29969148804656665;0.2043351054862954;0.3780199451496465;0.8531786830518224;5645827.333333333;0.1578554624602906;54.06333333333333;0.0278446656607446;59.266056060790994;39.29494789123535;2.172663370768227
1994;BENIN;54.988;156.1;605.0;0.061;0.5994750000000001;2.1166666666666667;1.9708333333333332;2.2666666666666666;0.2336000055;0.0278446656607446;64.0147323608398;39.29494789123535;1.95361995697021;0.1578554624602906;6096506.0;2.81451;1.39899;4.05249;77.41628347826088;73.91518695652175;80.94200913043478;18.1;12.3;22.8;0.001578554624602906;3.81084971731942;0.0;0.6884933714202068;0.0;0.5777213561152461;0.0;-2.3639175465331896;0.9019592533821831;2.5604830045275113;9.923716961813865;0.0010005731151580923;0.00983309128212127;0.03471934033472068;0.0323272597998482;0.03717976602773238;0.0038317030361325;0.00045673153870011115;1.0500232815458526;0.6445486626476764;0.0320449115767328;0.002589277570796955;0.04616595144825577;0.02294740626844294;0.06647233677781995;1.2698467528492694;1.2124188339439304;1.3276786593900636;0.2968913669567454;0.2017549068269596;0.3739847053377787;0.8269887284803489;5862352.0;0.1578554624602906;54.579;0.0278446656607446;62.085650126139306;39.29494789123535;2.0502666632334368
1995;BENIN;55.366;152.4;586.0;0.058;0.5994750000000001;2.1166666666666667;1.9708333333333332;2.2666666666666666;0.2578181868181818;0.0278446656607446;67.4948501586914;39.29494789123535;2.0343599319458;0.1578554624602906;6226773.0;3.04502;1.51496;4.38389;77.41628347826088;73.91518695652175;80.94200913043478;18.5;12.7;23.4;0.001578554624602906;2.136748491677043;0.0;0.6874227104095354;0.0;5.4364326296559184;0.0;4.132839382988607;0.8891604045948038;2.44749567713485;9.410974191607755;0.0009314616094082763;0.009627378418965974;0.0339929955157618;0.03165095842314042;0.036401947953886654;0.004140478331523918;0.000447176501548147;1.0839458923376748;0.6310644035238695;0.03267117545389562;0.002535108674433621;0.04890205568759292;0.024329777237744172;0.07040388335980773;1.2432809655701418;1.1870544655557822;1.2999030016098994;0.2971041340353984;0.20395797309457078;0.3757965803474769;0.7881912667468959;6065328.333333333;0.1578554624602906;54.98866666666667;0.0278446656607446;65.05220413208006;39.29494789123535;1.99629998207092
1996;BENIN;55.648;149.0;576.0;0.0558888888888888;0.5994750000000001;2.1166666666666667;1.9708333333333332;2.2666666666666666;0.2820363681363636;0.0278446656607446;69.8507385253906;39.29494789123535;2.05464005470276;0.1578554624602906;6391858.0;3.29338;1.64256;4.7429;77.41628347826088;73.91518695652175;80.94200913043478;19.0;13.0;24.0;0.001578554624602906;2.65121275498561;0.0;0.5093378607810006;0.0;3.490471289528174;0.0;0.9968797771966909;0.8706075760756888;2.331090584302718;9.011464272203794;0.0008743762594364393;0.009378728376005853;0.0331150452132489;0.030833496822572297;0.03546178070080197;0.004412431692574579;0.0004356271003007983;1.0928080461954974;0.6147656579860715;0.03214464487012634;0.0024696334377311046;0.05152461146665023;0.025697692282901155;0.07420221162610308;1.2111702650193557;1.1563959486665965;1.2663299017349068;0.2972531617567224;0.20338374225459951;0.3754776780084914;0.7588930128259783;6238379.0;0.1578554624602906;55.334;0.0278446656607446;67.12010701497393;39.29494789123535;2.0142066478729235
1997;BENIN;55.986;145.8;556.0;0.0537777777777777;0.5994750000000001;2.1166666666666667;1.9708333333333332;2.2666666666666666;0.3062545494545454;0.0278446656607446;73.6989974975586;39.29494789123535;2.51360011100769;0.1578554624602906;6583365.0;3.56263;1.78286;5.1323;77.41628347826088;73.91518695652175;80.94200913043478;19.5;13.4;24.6;0.001578554624602906;2.996108486765503;0.0;0.607389304197814;0.0;5.509260250368242;0.0;22.33773527652396;0.8504161625551674;2.2146728914468516;8.445528996189639;0.0008168737078648639;0.009105905566530188;0.03215174408021835;0.02993656486209307;0.03443021413314721;0.004651945463369347;0.00042295491227882097;1.1194730581937746;0.5968824133438653;0.03818108385313119;0.002397792959380053;0.054115638431106276;0.02708128745709831;0.07795861235097856;1.1759378900951243;1.1227569329138176;1.2294929588505996;0.29620110688075174;0.20354332472831144;0.37366908868033294;0.7151681751845129;6400665.333333333;0.1578554624602906;55.666666666666664;0.0278446656607446;70.3481953938802;39.29494789123535;2.20086669921875
1998;BENIN;56.154;142.6;547.0;0.0516666666666666;0.5994750000000001;2.1166666666666667;1.9708333333333332;2.2666666666666666;0.3304727307727272;0.0278446656607446;76.8410720825195;39.29494789123535;2.51360011100769;0.1578554624602906;6789489.0;3.85385;1.93652;5.55171;77.41628347826088;73.91518695652175;80.94200913043478;20.0;13.7;25.2;0.001578554624602906;3.1309824079327253;0.0;0.30007501875470854;0.0;4.263388501403975;0.0;0.0;0.8270725528828458;2.100305339621288;8.056570973161604;0.0007609801955149584;0.008829456826574137;0.031175640267870917;0.02902771229665934;0.033384937609688546;0.004867416837595984;0.0004101143055205568;1.131765175295512;0.5787614928197888;0.0370219336242785;0.0023249976906994122;0.05676200373842567;0.02852232325584444;0.08176918763694882;1.1402372620128096;1.088670840419975;1.1921664374216496;0.29457297890901657;0.20178249055267636;0.37116195342536085;0.6885857818540542;6588237.333333333;0.1578554624602906;55.92933333333334;0.0278446656607446;73.4636027018229;39.29494789123535;2.3606134255727134
1999;BENIN;56.336;139.3;536.0;0.0495555555555555;0.5994750000000001;2.1166666666666667;1.9708333333333332;2.2666666666666666;0.3546909120909091;0.0278446656607446;77.1800384521484;20.098539352417;3.20745992660522;0.1578554624602906;7002818.0;4.16646;2.10356;5.99903;77.41628347826088;73.91518695652175;80.94200913043478;20.5;14.1;25.8;0.001578554624602906;3.142047950884086;0.0;0.3241087010720456;0.0;0.44112654917787264;-48.85210330842573;27.604224417358303;0.80447614089071;1.9891992052342358;7.654061550650038;0.0007076516276098493;0.008560482365813306;0.030225927143425216;0.02814343216307111;0.032367921980360856;0.005064974016044814;0.00039762086721009454;1.1021282925266427;0.2870064501521673;0.04580241734977577;0.002254170570480207;0.059496905388659246;0.030038764394562302;0.08566594191081361;1.105501863367874;1.0555063255466834;1.1558491043239276;0.29273929438120483;0.20134751467195064;0.368423111952931;0.7379800036002588;6791890.666666667;0.1578554624602906;56.15866666666667;0.0278446656607446;75.90670267740883;32.896145044962566;2.744886716206867
